AMSC,08-27-21,12.54,180018.0,410264.0,355230000,0,0,1.12,Neutral,381,164,3,0,2,1,0,27.59,67.46,139.23
AMBA,08-27-21,102.43,216480.0,513219.0,3720000000,0,0,1.37,Neutral,760,302,14,0,10,3,1,-34.59,14.58,46.44
AMGN,08-27-21,222.78,2660000.0,2600000.0,126510000000,22.66,3.18,0.69,Neutral,1452,490,22,0,12,8,2,-16.96,12.12,35.11
AMKR,08-27-21,27.62,1320000.0,1710000.0,6750000000,14.54,0.61,1.56,Neutral,307,183,2,0,1,1,0,-45.69,-43.27,-42.07
AMTB,08-27-21,24.65,52821.0,67264.0,923910000,23.7,0,1.03,Neutral,42,40,7,0,3,4,0,-55.38,-7.87,3.45
AMOT,08-27-21,34.52,26832.0,38322.0,508000000,21.35,0.3,1.78,Positive,174,124,2,0,2,0,0,-100.0,-100.0,-100.0
AMRN,08-27-21,5.62,3450000.0,5160000.0,2220000000,562.56,0,2.2,Neutral,830,260,7,0,4,2,1,-11.03,83.1,238.08
AMRS,08-27-21,16.05,3000000.0,4099999.9999999995,4780000000,0,0,1.13,Positive,335,262,6,0,6,0,0,-79.13,14.58,86.92
AMSF,08-27-21,57.55,69922.0,80575.0,1110000000,11.74,2.08,0.35,Positive,221,149,1,0,0,1,0,-100.0,-100.0,-100.0
AMPH,08-27-21,19.3,210520.0,201664.0,927020000,91.91,0,0.73,Neutral,361,164,2,0,1,1,0,3.63,11.4,19.17
AMTI,08-27-21,31.0,255229.0,219404.0,1190000000,0,0,0.08,Neutral,14,4,2,0,2,0,0,138.71,159.13,196.77
ALTR,08-27-21,74.95,121320.0,273298.0,5660000000,0,0,1.5,Neutral,545,377,7,0,5,2,0,-19.95,-7.4,6.74
ALGT,08-27-21,191.18,111640.0,174702.0,3440000000,83.12,0,1.77,Neutral,517,301,12,1,9,2,0,-13.17,32.82,70.52
ALRN,08-27-21,1.12,1690000.0,2029999.9999999998,101420000,0,0,2.74,Positive,203,95,2,0,2,0,0,78.57,212.5,346.43
AMWD,08-27-21,82.49,126579.0,100473.0,1370000000,23.84,0,2.23,Neutral,347,204,4,0,3,1,0,15.17,23.65,34.56
ALPN,08-27-21,9.5,67496.0,116142.0,227190000,0,0,1.61,Positive,355,189,2,0,2,0,0,100.0,110.53,121.05
ANDE,08-27-21,30.68,140199.0,160486.0,1020000000,13.95,2.33,0.67,Neutral,281,206,4,0,3,1,0,-21.77,-9.81,7.56
ANSS,08-27-21,365.02,374607.0,427070.0,31850000000,70.06,0,1.23,Neutral,395,251,8,0,3,5,0,-72.6,-5.76,13.69
ANIP,08-27-21,27.96,45459.0,58090.0,356830000,0,0,1.27,Neutral,401,201,1,0,1,0,0,114.59,114.59,114.59
ANGO,08-27-21,28.22,136674.0,274750.0,1080000000,0,0,0.82,Positive,348,220,3,1,0,2,0,-0.78,6.31,13.39
ANAB,08-27-21,25.35,107563.0,355949.0,695430000,0,0,0.05,Neutral,332,136,7,0,4,2,1,-1.38,35.82,69.63
ANIK,08-27-21,42.16,96261.0,113400.0,608070000,0,0,1.23,Neutral,291,147,2,0,1,1,0,1.99,5.55,9.11
AOSL,08-27-21,28.97,290731.0,288590.0,755860000,13.67,0,2.59,Neutral,293,184,2,0,2,0,0,55.33,67.41,79.5
